gender,educ,ethnic,region,demo_wt,n_input,n_census
male,no_college,hispanic,northeast_south,1.1598918653698476,7,8.88
male,no_college,hispanic,midwest_west,1.0097655575913482,10,7.45
male,no_college,black,northeast_south,0.9929471410719494,12,4.72
male,no_college,black,midwest_west,0.8644287053806907,8,3.96
male,no_college,white_asian_other,northeast_south,1.3676645601445174,14,21.37
male,no_college,white_asian_other,midwest_west,1.1906459631320008,6,17.91
male,college_plus,hispanic,northeast_south,0.9551728082406651,8,14.77
male,college_plus,hispanic,midwest_west,0.8315435534170977,16,12.38
male,college_plus,black,northeast_south,0.8176935604853233,4,7.85
male,college_plus,black,midwest_west,0.7118584229220695,9,6.58
male,college_plus,white_asian_other,northeast_south,1.1262739550534937,41,35.52
male,college_plus,white_asian_other,midwest_west,0.9804988569883356,33,29.78
female,no_college,hispanic,northeast_south,1.0855601307713854,11,8.71
female,no_college,hispanic,midwest_west,0.9450546757630534,17,7.3
female,no_college,black,northeast_south,0.9293140684001902,8,4.63
female,no_college,black,midwest_west,0.8090317437965512,7,3.88
female,no_college,white_asian_other,northeast_south,1.2800177008642613,11,20.94
female,no_college,white_asian_other,midwest_west,1.1143433504707432,9,17.56
female,college_plus,hispanic,northeast_south,0.8939605057859238,10,14.47
female,college_plus,hispanic,midwest_west,0.7782540386225849,14,12.13
female,college_plus,black,northeast_south,0.7652916232569021,4,7.69
female,college_plus,black,midwest_west,0.6662389363611814,2,6.45
female,college_plus,white_asian_other,northeast_south,1.0540966261043834,42,34.81
female,college_plus,white_asian_other,midwest_west,0.9176635332933009,39,29.18
