gender,educ,ethnic,region,demo_wt,n_input
male,no_college,hispanic,northeast_south,1.1598918653698476,7
male,no_college,hispanic,midwest_west,1.0097655575913482,10
male,no_college,black,northeast_south,0.9929471410719494,12
male,no_college,black,midwest_west,0.8644287053806907,8
male,no_college,white_asian_other,northeast_south,1.3676645601445174,14
male,no_college,white_asian_other,midwest_west,1.1906459631320008,6
male,college_plus,hispanic,northeast_south,0.9551728082406651,8
male,college_plus,hispanic,midwest_west,0.8315435534170977,16
male,college_plus,black,northeast_south,0.8176935604853233,4
male,college_plus,black,midwest_west,0.7118584229220695,9
male,college_plus,white_asian_other,northeast_south,1.1262739550534937,41
male,college_plus,white_asian_other,midwest_west,0.9804988569883356,33
female,no_college,hispanic,northeast_south,1.0855601307713854,11
female,no_college,hispanic,midwest_west,0.9450546757630534,17
female,no_college,black,northeast_south,0.9293140684001902,8
female,no_college,black,midwest_west,0.8090317437965512,7
female,no_college,white_asian_other,northeast_south,1.2800177008642613,11
female,no_college,white_asian_other,midwest_west,1.1143433504707432,9
female,college_plus,hispanic,northeast_south,0.8939605057859238,10
female,college_plus,hispanic,midwest_west,0.7782540386225849,14
female,college_plus,black,northeast_south,0.7652916232569021,4
female,college_plus,black,midwest_west,0.6662389363611814,2
female,college_plus,white_asian_other,northeast_south,1.0540966261043834,42
female,college_plus,white_asian_other,midwest_west,0.9176635332933009,39
