SS,Percentile
40,<0.1
41,<0.1
42,<0.1
43,<0.1
44,<0.1
45,<0.1
46,<0.1
47,<0.1
48,<0.1
49,<0.1
50,<0.1
51,0.1
52,0.1
53,0.1
54,0.1
55,0.1
56,0.2
57,0.2
58,0.3
59,0.3
60,0.4
61,0.5
62,1
63,1
64,1
65,1
66,1
67,1
68,2
69,2
70,2
71,3
72,3
73,4
74,4
75,5
76,5
77,6
78,7
79,8
80,9
81,10
82,12
83,13
84,14
85,16
86,18
87,19
88,21
89,23
90,25
91,27
92,30
93,32
94,34
95,37
96,39
97,42
98,45
99,47
100,50
101,53
102,55
103,58
104,61
105,63
106,66
107,68
108,70
109,73
110,75
111,77
112,79
113,81
114,82
115,84
116,86
117,87
118,88
119,90
120,91
121,92
122,93
123,94
124,95
125,95
126,96
127,96
128,97
129,97
130,98
131,98
132,98
133,99
134,99
135,99
136,99
137,99
138,99
139,99.5
140,99.6
141,99.7
142,99.7
143,99.8
144,99.8
145,99.9
146,99.9
147,99.9
148,99.9
149,99.9
150,>99.9
151,>99.9
152,>99.9
153,>99.9
154,>99.9
155,>99.9
156,>99.9
157,>99.9
158,>99.9
159,>99.9
160,>99.9
