Examinee's ID,Which combination of the TOD did you administer?,Examinee's 5-digit zip code,Examinee's age in years,Examinee grade in school,Examinee's gender,PEL,"Is theˇexaminee of Hispanic, Latino, or Spanish origin?",Examinee's race/ethnicity
309028,TOD-S + TOD,22032,17,11,Female,Some College or associate's degree,Yes,Other / Multiracial
999002,TOD-S + TOD,85629,72,Not Applicable / NOT IN SCHOOL,Female,Bachelors degree or higher,No,White
309027,TOD-S + TOD,22180,8,3,Female,HS_grad,No,Asian
309026,TOD-S + TOD-E,22180,6,1,Female,Some College or associate's degree,No,Asian
309025,TOD-S + TOD,22180,9,4,Female,Some College or associate's degree,No,Asian
309024,TOD-S + TOD,22180,9,4,Female,Some College or associate's degree,No,Asian
243027,TOD-S + TOD,40223,15,10,Female,Bachelors degree or higher,No,White
267011,TOD-S + TOD,97034,15,9,Male,Bachelors degree or higher,No,Other / Multiracial
269003,TOD-S + TOD,27587,14,9,Female,Bachelors degree or higher,No,White
269009,TOD-S + TOD,27610,12,8,Female,Bachelors degree or higher,No,Black/African American
269011,TOD-S + TOD-E,27609,7,2,Male,Bachelors degree or higher,No,White
223063,TOD-S + TOD,78543,12,7,Male,HS_grad,No,White
223062,TOD-S + TOD,78543,14,9,Female,HS_grad,Yes,White
223061,TOD-S + TOD,78543,18,12,Female,HS_grad,Yes,White
309023,TOD-S + TOD,22042,16,11,Female,Did not complete high school,No,Black/African American
309022,TOD-S + TOD,22032,16,11,Female,Some College or associate's degree,No,White
307004,TOD-S + TOD,3079,6,2,Male,Some College or associate's degree,No,White
307009,TOD-S + TOD,3079,12,7,Female,Bachelors degree or higher,No,White
267010,TOD-S + TOD,97035,15,10,Male,Some College or associate's degree,No,Asian
267009,TOD-S + TOD,97035,12,7,Male,Some College or associate's degree,No,Asian
267008,TOD-S + TOD,97035,11,6,Male,Bachelors degree or higher,No,White
257017,TOD-S + TOD-E,90293,8,2,Female,Some College or associate's degree,Yes,Other / Multiracial
257016,TOD-S + TOD-E,90293,8,2,Female,Did not complete high school,Yes,Other / Multiracial
267007,TOD-S + TOD,97035,14,9,Female,Bachelors degree or higher,No,White
267006,TOD-S + TOD,97035,14,9,Male,Bachelors degree or higher,No,White
211075,TOD-S + TOD-E,64055,11,6,Male,Bachelors degree or higher,No,White
309017,TOD-S + TOD,20910,12,5,Female,Some College or associate's degree,No,White
309020,TOD-S + TOD,22180,9,4,Female,HS_grad,No,Asian
309021,TOD-S + TOD-E,22180,7,2,Female,Some College or associate's degree,No,Asian
309019,TOD-S + TOD,20910,13,8,Female,Some College or associate's degree,No,White
309018,TOD-S + TOD,20910,16,11,Female,Some College or associate's degree,No,White
309016,TOD-S + TOD,22015,51,Not Applicable / NOT IN SCHOOL,Female,Some College or associate's degree,Yes,White
309014,TOD-S + TOD-E,20112,6,1,Female,HS_grad,No,Black/African American
309015,TOD-S + TOD-E,22030,7,2,Male,Some College or associate's degree,No,Asian
212063,TOD-S + TOD,61805,17,12,Female,Did not complete high school,No,Black/African American
223042,TOD-S + TOD,78538,15,10,Male,HS_grad,Yes,White
223037,TOD-S + TOD,78538,8,3,Female,HS_grad,Yes,White
223036,TOD-S + TOD,78538,11,6,Female,Did not complete high school,Yes,White
309013,TOD-S + TOD,22043,13,8,Male,Did not complete high school,Yes,White
309012,TOD-S + TOD,22043,16,11,Female,Did not complete high school,Yes,White
309011,TOD-S + TOD,22043,17,12,Female,Did not complete high school,Yes,White
309010,TOD-S + TOD,22042,11,6,Male,Did not complete high school,No,Black/African American
226052,TOD-S + TOD-E,46055,9,2,Female,Some College or associate's degree,No,White
207024,TOD-S + TOD-E,60629,5,K,Female,HS_grad,No,Black/African American
207023,TOD-S + TOD-E,60644,5,K,Male,Some College or associate's degree,No,Black/African American
210038,TOD-S + TOD,78573,43,Not Applicable / NOT IN SCHOOL,Female,Bachelors degree or higher,Yes,White
210037,TOD-S + TOD,78504,7,2,Female,Bachelors degree or higher,Yes,White
210036,TOD-S + TOD,78504,11,6,Female,Bachelors degree or higher,Yes,White
223064,TOD-S + TOD,78599,16,11,Male,Some College or associate's degree,Yes,White
223065,TOD-S + TOD,78596,15,10,Male,Some College or associate's degree,Yes,White
265019,TOD-S + TOD,48070,6,1,Male,Bachelors degree or higher,No,White
256041,TOD-S + TOD,38401,12,7,Female,Some College or associate's degree,No,White
256038,TOD-S + TOD,38401,11,11,Male,Some College or associate's degree,No,White
256037,TOD-S + TOD,38401,8,3,Female,HS_grad,No,White
256031,TOD-S + TOD,38401,18,12,Female,Bachelors degree or higher,No,White
