norm_group,score,raw,ss,CI90,CI95,percentile,desc_range,risk
age,eddiw,320,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,321,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,322,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,323,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,324,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,325,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,326,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,327,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,328,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,329,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,330,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,331,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,332,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,333,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,334,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,335,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,336,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,337,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,338,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,339,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,340,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,341,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,342,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,343,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,344,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,345,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,346,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,347,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,348,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,349,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,350,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,351,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,352,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,353,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,354,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,355,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,356,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,357,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,358,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,359,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,360,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,361,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,362,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,363,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,364,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,365,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,366,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,367,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,368,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,369,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,370,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,371,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,372,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,373,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,374,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,375,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,376,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,377,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,378,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,379,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,380,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,381,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,382,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,383,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,384,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,385,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,386,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,387,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,388,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,389,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,390,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,391,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,392,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,393,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,eddiw,394,65,62 - 68,61 - 69,1,Significantly Below Average,Extremely High Probability of Dyslexia
