test,agemon_min,agemon_max,raw,ss,CI90,CI95,percentile,age_equiv,desc_range
spwe,60,63,0,73,67 - 79,66 - 80,4,< start age,Well Below Average
spwe,60,63,1,76,70 - 82,69 - 83,5,< start age,Well Below Average
spwe,60,63,2,79,73 - 85,72 - 86,8,< start age,Well Below Average
spwe,60,63,3,82,76 - 88,75 - 89,12,< start age,Below Average
spwe,60,63,4,85,79 - 91,78 - 92,16,< start age,Below Average
spwe,60,63,5,88,82 - 94,81 - 95,21,< start age,Below Average
spwe,60,63,6,90,84 - 96,83 - 97,25,< start age,Average
spwe,60,63,7,93,87 - 99,86 - 100,32,< start age,Average
spwe,60,63,8,96,90 - 102,89 - 103,39,5:0 to 5:3,Average
spwe,60,63,9,99,93 - 105,92 - 106,47,5:0 to 5:3,Average
spwe,60,63,10,102,96 - 108,95 - 109,55,5:0 to 5:3,Average
spwe,60,63,11,105,99 - 111,98 - 112,63,5:4 to 5:7,Average
spwe,60,63,12,108,102 - 114,101 - 115,70,5:4 to 5:7,Average
spwe,60,63,13,111,105 - 117,104 - 118,77,5:8 to 5:11,Above Average
spwe,60,63,14,114,108 - 120,107 - 121,82,6:0 to 6:5,Above Average
spwe,60,63,15,117,111 - 123,110 - 124,87,6:0 to 6:5,Above Average
spwe,60,63,16,120,114 - 126,113 - 127,91,6:6 to 6:11,Well Above Average
spwe,60,63,17,123,117 - 129,116 - 130,94,6:6 to 6:11,Well Above Average
spwe,60,63,18,126,120 - 130,119 - 130,96,6:6 to 6:11,Well Above Average
spwe,60,63,19,129,123 - 130,122 - 130,97,7:0 to 7:5,Well Above Average
spwe,60,63,20,130,124 - 130,123 - 130,98,7:0 to 7:5,Well Above Average
spwe,60,63,21,130,124 - 130,123 - 130,98,7:6 to 7:11,Well Above Average
spwe,60,63,22,130,124 - 130,123 - 130,98,7:6 to 7:11,Well Above Average
spwe,60,63,23,130,124 - 130,123 - 130,98,8:0 to 8:5,Well Above Average
spwe,60,63,24,130,124 - 130,123 - 130,98,8:0 to 8:5,Well Above Average
spwe,60,63,25,130,124 - 130,123 - 130,98,8:6 to 9:3,Well Above Average
spwe,60,63,26,130,124 - 130,123 - 130,98,8:6 to 9:3,Well Above Average
spwe,60,63,27,130,124 - 130,123 - 130,98,> stop age,Well Above Average
