version,norm_rater,raw,t_score,CI90,CI95,risk_level,percentile
TODC,child-parent,26,40,40 - 44,40 - 44,Very low risk,16
TODC,child-parent,27,40,40 - 44,40 - 44,Very low risk,16
TODC,child-parent,28,40,40 - 44,40 - 44,Very low risk,16
TODC,child-parent,29,40,40 - 44,40 - 44,Very low risk,16
TODC,child-parent,30,40,40 - 44,40 - 44,Very low risk,16
TODC,child-parent,31,40,40 - 44,40 - 44,Very low risk,16
TODC,child-parent,32,40,40 - 44,40 - 44,Very low risk,16
TODC,child-parent,33,40,40 - 44,40 - 44,Very low risk,16
TODC,child-parent,34,40,40 - 44,40 - 44,Very low risk,16
TODC,child-parent,35,40,40 - 44,40 - 44,Very low risk,16
TODC,child-parent,36,40,40 - 44,40 - 44,Very low risk,16
TODC,child-parent,37,40,40 - 44,40 - 44,Very low risk,16
TODC,child-parent,38,41,40 - 45,40 - 45,Very low risk,18
TODC,child-parent,39,42,40 - 46,40 - 46,Very low risk,21
TODC,child-parent,40,42,40 - 46,40 - 46,Very low risk,21
TODC,child-parent,41,43,40 - 47,40 - 47,Very low risk,24
TODC,child-parent,42,43,40 - 47,40 - 47,Very low risk,24
TODC,child-parent,43,44,40 - 48,40 - 48,Moderately low risk,27
TODC,child-parent,44,44,40 - 48,40 - 48,Moderately low risk,27
TODC,child-parent,45,45,41 - 49,41 - 49,Moderately low risk,31
TODC,child-parent,46,46,42 - 50,42 - 50,Moderately low risk,34
TODC,child-parent,47,46,42 - 50,42 - 50,Moderately low risk,34
TODC,child-parent,48,47,43 - 51,43 - 51,Moderately low risk,38
TODC,child-parent,49,47,43 - 51,43 - 51,Moderately low risk,38
TODC,child-parent,50,48,44 - 52,44 - 52,Moderately low risk,42
TODC,child-parent,51,48,44 - 52,44 - 52,Moderately low risk,42
TODC,child-parent,52,49,45 - 53,45 - 53,Moderately low risk,46
TODC,child-parent,53,50,46 - 54,46 - 54,Moderately high risk,50
TODC,child-parent,54,50,46 - 54,46 - 54,Moderately high risk,50
TODC,child-parent,55,51,47 - 55,47 - 55,Moderately high risk,54
TODC,child-parent,56,52,48 - 56,48 - 56,Moderately high risk,58
TODC,child-parent,57,53,49 - 57,49 - 57,Moderately high risk,62
TODC,child-parent,58,53,49 - 57,49 - 57,Moderately high risk,62
TODC,child-parent,59,54,50 - 58,50 - 58,Moderately high risk,66
TODC,child-parent,60,55,51 - 59,51 - 59,Moderately high risk,69
TODC,child-parent,61,55,51 - 59,51 - 59,Moderately high risk,69
TODC,child-parent,62,56,52 - 60,52 - 60,Moderately high risk,73
TODC,child-parent,63,57,53 - 61,53 - 61,High risk,76
TODC,child-parent,64,57,53 - 61,53 - 61,High risk,76
TODC,child-parent,65,58,54 - 62,54 - 62,High risk,79
TODC,child-parent,66,58,54 - 62,54 - 62,High risk,79
TODC,child-parent,67,59,55 - 63,55 - 63,High risk,82
TODC,child-parent,68,60,56 - 64,56 - 64,High risk,84
TODC,child-parent,69,60,56 - 64,56 - 64,High risk,84
TODC,child-parent,70,61,57 - 65,57 - 65,High risk,86
TODC,child-parent,71,62,58 - 66,58 - 66,High risk,88
TODC,child-parent,72,63,59 - 67,59 - 67,Very high risk,90
TODC,child-parent,73,63,59 - 67,59 - 67,Very high risk,90
TODC,child-parent,74,64,60 - 68,60 - 68,Very high risk,92
TODC,child-parent,75,65,61 - 69,61 - 69,Very high risk,93
TODC,child-parent,76,65,61 - 69,61 - 69,Very high risk,93
TODC,child-parent,77,66,62 - 70,62 - 70,Very high risk,95
TODC,child-parent,78,67,63 - 71,63 - 71,Very high risk,96
TODC,child-parent,79,67,63 - 71,63 - 71,Very high risk,96
TODC,child-parent,80,68,64 - 72,64 - 72,Very high risk,96
TODC,child-parent,81,68,64 - 72,64 - 72,Very high risk,96
TODC,child-parent,82,69,65 - 73,65 - 73,Very high risk,97
TODC,child-parent,83,69,65 - 73,65 - 73,Very high risk,97
