SS,percentile,,
130,98,,
129,97,,
128,97,,
127,96,,
126,96,,
125,95,,
124,95,,
123,94,,
122,93,,
121,92,,
120,91,,
119,90,,
118,88,,
117,87,,
116,86,,
115,84,,
114,82,,
113,81,,
112,79,,
111,77,,
110,75,,
109,73,,
108,70,,
107,68,,
106,66,,
105,63,,
104,61,,
103,58,,
102,55,,
101,53,,
100,50,, 
99,47,,
98,45,,
97,42,,
96,39,,
95,37,,
94,34,,
93,32,,
92,30,,
91,27,,
90,25,,
89,23,,
88,21,,
87,19,,
86,18,,
85,16,,
84,14,,
83,13,,
82,12,,
81,10,,
80,9,,
79,8,,
78,7,,
77,6,,
76,5,,
75,5,,
74,4,,
73,4,,
72,3,,
71,3,,
70,2,,
69,2,,
68,2,,
67,1,,
66,1,,
65,1,,
64,1,,
63,1,,
62,1,,
61,0.5,,
60,0.4,,
59,0.3,,
58,0.3,,
57,0.2,,
56,0.2,,
55,0.1,,
54,0.1,,
53,0.1,,
52,0.1,,
51,0.1,,
50,0.1,,
49,<.1,,
48,<.1,,
47,<.1,,
46,<.1,,
45,<.1,,
44,<.1,,
43,<.1,,
42,<.1,,
41,<.1,,
40,<.1,,
