test,agemon_min,agemon_max,raw,ss,CI90,CI95,percentile,age_equiv,desc_range
phmc,72,75,0,70,64 - 76,63 - 77,2,< Start age,Well Below Average
phmc,72,75,1,72,66 - 78,65 - 79,3,< Start age,Well Below Average
phmc,72,75,2,74,68 - 80,67 - 81,4,< Start age,Well Below Average
phmc,72,75,3,75,69 - 81,68 - 82,5,< Start age,Well Below Average
phmc,72,75,4,76,70 - 82,69 - 83,5,< Start age,Well Below Average
phmc,72,75,5,77,71 - 83,70 - 84,6,< Start age,Well Below Average
phmc,72,75,6,79,73 - 85,72 - 86,8,< Start age,Well Below Average
phmc,72,75,7,80,74 - 86,73 - 87,9,< Start age,Below Average
phmc,72,75,8,82,76 - 88,75 - 89,12,< Start age,Below Average
phmc,72,75,9,83,77 - 89,76 - 90,13,< Start age,Below Average
phmc,72,75,10,84,78 - 90,77 - 91,14,< Start age,Below Average
phmc,72,75,11,86,80 - 92,79 - 93,18,< Start age,Below Average
phmc,72,75,12,88,82 - 94,81 - 95,21,< Start age,Below Average
phmc,72,75,13,89,83 - 95,82 - 96,23,< Start age,Below Average
phmc,72,75,14,90,84 - 96,83 - 97,25,< Start age,Average
phmc,72,75,15,91,85 - 97,84 - 98,27,< Start age,Average
phmc,72,75,16,93,87 - 99,86 - 100,32,< Start age,Average
phmc,72,75,17,94,88 - 100,87 - 101,34,< Start age,Average
phmc,72,75,18,95,89 - 101,88 - 102,37,6.0 - 6.3,Average
phmc,72,75,19,96,90 - 102,89 - 103,39,6.0 - 6.3,Average
phmc,72,75,20,98,92 - 104,91 - 105,45,6.0 - 6.3,Average
phmc,72,75,21,99,93 - 105,92 - 106,47,6.0 - 6.3,Average
phmc,72,75,22,100,94 - 106,93 - 107,50,6.0 - 6.3,Average
phmc,72,75,23,101,95 - 107,94 - 108,53,6.4 - 6.7,Average
phmc,72,75,24,103,97 - 109,96 - 110,58,6.4 - 6.7,Average
phmc,72,75,25,104,98 - 110,97 - 111,61,6.8 - 6.11,Average
phmc,72,75,26,105,99 - 111,98 - 112,63,7.0 - 7.3,Average
phmc,72,75,27,107,101 - 113,100 - 114,68,7.0 - 7.3,Average
phmc,72,75,28,108,102 - 114,101 - 115,70,7.4 - 7.7,Average
phmc,72,75,29,110,104 - 116,103 - 117,75,7.8 - 7.11,Above Average
phmc,72,75,30,111,105 - 117,104 - 118,77,7.8 - 7.11,Above Average
phmc,72,75,31,112,106 - 118,105 - 119,79,8.0 - 8.5,Above Average
phmc,72,75,32,114,108 - 120,107 - 121,82,8.0 - 8.5,Above Average
phmc,72,75,33,115,109 - 121,108 - 122,84,8.6 - 8.11,Above Average
phmc,72,75,34,117,111 - 123,110 - 124,87,9.0 - 9.5,Above Average
phmc,72,75,35,118,112 - 124,111 - 125,88,9.0 - 9.5,Above Average
phmc,72,75,36,120,114 - 126,113 - 127,91,9.6 - 9.11,Well Above Average
phmc,72,75,37,121,115 - 127,114 - 128,92,10.0 - 10.5,Well Above Average
phmc,72,75,38,123,117 - 129,116 - 130,94,10.6 - 10.11,Well Above Average
phmc,72,75,39,125,119 - 130,118 - 130,95,11.0 - 11.5,Well Above Average
phmc,72,75,40,126,120 - 130,119 - 130,96,11.6 - 11.11,Well Above Average
phmc,72,75,41,128,122 - 130,121 - 130,97,13.0 - 13.11,Well Above Average
phmc,72,75,42,129,123 - 130,122 - 130,97,15.0 - 16.11,Well Above Average
phmc,72,75,43,130,124 - 130,123 - 130,98,17.0 - 18.11,Well Above Average
phmc,72,75,44,130,124 - 130,123 - 130,98,> Stop age,Well Above Average
phmc,72,75,45,130,124 - 130,123 - 130,98,> Stop age,Well Above Average
phmc,76,79,0,70,64 - 76,63 - 77,2,< Start age,Well Below Average
phmc,76,79,1,71,65 - 77,64 - 78,3,< Start age,Well Below Average
phmc,76,79,2,73,67 - 79,66 - 80,4,< Start age,Well Below Average
phmc,76,79,3,74,68 - 80,67 - 81,4,< Start age,Well Below Average
phmc,76,79,4,75,69 - 81,68 - 82,5,< Start age,Well Below Average
phmc,76,79,5,76,70 - 82,69 - 83,5,< Start age,Well Below Average
phmc,76,79,6,78,72 - 84,71 - 85,7,< Start age,Well Below Average
phmc,76,79,7,79,73 - 85,72 - 86,8,< Start age,Well Below Average
phmc,76,79,8,81,75 - 87,74 - 88,10,< Start age,Below Average
phmc,76,79,9,82,76 - 88,75 - 89,12,< Start age,Below Average
phmc,76,79,10,83,77 - 89,76 - 90,13,< Start age,Below Average
phmc,76,79,11,84,78 - 90,77 - 91,14,< Start age,Below Average
phmc,76,79,12,85,79 - 91,78 - 92,16,< Start age,Below Average
phmc,76,79,13,87,81 - 93,80 - 94,19,< Start age,Below Average
phmc,76,79,14,88,82 - 94,81 - 95,21,< Start age,Below Average
phmc,76,79,15,89,83 - 95,82 - 96,23,< Start age,Below Average
phmc,76,79,16,90,84 - 96,83 - 97,25,< Start age,Average
phmc,76,79,17,91,85 - 97,84 - 98,27,< Start age,Average
phmc,76,79,18,93,87 - 99,86 - 100,32,6.0 - 6.3,Average
phmc,76,79,19,94,88 - 100,87 - 101,34,6.0 - 6.3,Average
phmc,76,79,20,95,89 - 101,88 - 102,37,6.0 - 6.3,Average
phmc,76,79,21,97,91 - 103,90 - 104,42,6.0 - 6.3,Average
phmc,76,79,22,98,92 - 104,91 - 105,45,6.0 - 6.3,Average
phmc,76,79,23,99,93 - 105,92 - 106,47,6.4 - 6.7,Average
phmc,76,79,24,101,95 - 107,94 - 108,53,6.4 - 6.7,Average
phmc,76,79,25,102,96 - 108,95 - 109,55,6.8 - 6.11,Average
phmc,76,79,26,103,97 - 109,96 - 110,58,7.0 - 7.3,Average
phmc,76,79,27,105,99 - 111,98 - 112,63,7.0 - 7.3,Average
phmc,76,79,28,106,100 - 112,99 - 113,66,7.4 - 7.7,Average
phmc,76,79,29,107,101 - 113,100 - 114,68,7.8 - 7.11,Average
phmc,76,79,30,109,103 - 115,102 - 116,73,7.8 - 7.11,Average
phmc,76,79,31,110,104 - 116,103 - 117,75,8.0 - 8.5,Above Average
phmc,76,79,32,112,106 - 118,105 - 119,79,8.0 - 8.5,Above Average
phmc,76,79,33,113,107 - 119,106 - 120,81,8.6 - 8.11,Above Average
phmc,76,79,34,115,109 - 121,108 - 122,84,9.0 - 9.5,Above Average
phmc,76,79,35,117,111 - 123,110 - 124,87,9.0 - 9.5,Above Average
phmc,76,79,36,118,112 - 124,111 - 125,88,9.6 - 9.11,Above Average
phmc,76,79,37,120,114 - 126,113 - 127,91,10.0 - 10.5,Well Above Average
phmc,76,79,38,121,115 - 127,114 - 128,92,10.6 - 10.11,Well Above Average
phmc,76,79,39,123,117 - 129,116 - 130,94,11.0 - 11.5,Well Above Average
phmc,76,79,40,125,119 - 130,118 - 130,95,11.6 - 11.11,Well Above Average
phmc,76,79,41,126,120 - 130,119 - 130,96,13.0 - 13.11,Well Above Average
phmc,76,79,42,128,122 - 130,121 - 130,97,15.0 - 16.11,Well Above Average
phmc,76,79,43,130,124 - 130,123 - 130,98,17.0 - 18.11,Well Above Average
phmc,76,79,44,130,124 - 130,123 - 130,98,> Stop age,Well Above Average
phmc,76,79,45,130,124 - 130,123 - 130,98,> Stop age,Well Above Average
phmc,80,83,0,68,62 - 74,61 - 75,2,< Start age,Significantly Below Average
phmc,80,83,1,70,64 - 76,63 - 77,2,< Start age,Well Below Average
phmc,80,83,2,72,66 - 78,65 - 79,3,< Start age,Well Below Average
phmc,80,83,3,73,67 - 79,66 - 80,4,< Start age,Well Below Average
phmc,80,83,4,74,68 - 80,67 - 81,4,< Start age,Well Below Average
phmc,80,83,5,75,69 - 81,68 - 82,5,< Start age,Well Below Average
phmc,80,83,6,76,70 - 82,69 - 83,5,< Start age,Well Below Average
phmc,80,83,7,78,72 - 84,71 - 85,7,< Start age,Well Below Average
phmc,80,83,8,79,73 - 85,72 - 86,8,< Start age,Well Below Average
phmc,80,83,9,80,74 - 86,73 - 87,9,< Start age,Below Average
phmc,80,83,10,81,75 - 87,74 - 88,10,< Start age,Below Average
phmc,80,83,11,82,76 - 88,75 - 89,12,< Start age,Below Average
phmc,80,83,12,83,77 - 89,76 - 90,13,< Start age,Below Average
phmc,80,83,13,84,78 - 90,77 - 91,14,< Start age,Below Average
phmc,80,83,14,86,80 - 92,79 - 93,18,< Start age,Below Average
phmc,80,83,15,87,81 - 93,80 - 94,19,< Start age,Below Average
phmc,80,83,16,88,82 - 94,81 - 95,21,< Start age,Below Average
phmc,80,83,17,89,83 - 95,82 - 96,23,< Start age,Below Average
phmc,80,83,18,90,84 - 96,83 - 97,25,6.0 - 6.3,Average
phmc,80,83,19,92,86 - 98,85 - 99,30,6.0 - 6.3,Average
phmc,80,83,20,93,87 - 99,86 - 100,32,6.0 - 6.3,Average
phmc,80,83,21,94,88 - 100,87 - 101,34,6.0 - 6.3,Average
phmc,80,83,22,96,90 - 102,89 - 103,39,6.0 - 6.3,Average
phmc,80,83,23,97,91 - 103,90 - 104,42,6.4 - 6.7,Average
phmc,80,83,24,98,92 - 104,91 - 105,45,6.4 - 6.7,Average
phmc,80,83,25,100,94 - 106,93 - 107,50,6.8 - 6.11,Average
phmc,80,83,26,101,95 - 107,94 - 108,53,7.0 - 7.3,Average
phmc,80,83,27,102,96 - 108,95 - 109,55,7.0 - 7.3,Average
phmc,80,83,28,104,98 - 110,97 - 111,61,7.4 - 7.7,Average
phmc,80,83,29,105,99 - 111,98 - 112,63,7.8 - 7.11,Average
phmc,80,83,30,107,101 - 113,100 - 114,68,7.8 - 7.11,Average
phmc,80,83,31,108,102 - 114,101 - 115,70,8.0 - 8.5,Average
phmc,80,83,32,110,104 - 116,103 - 117,75,8.0 - 8.5,Above Average
phmc,80,83,33,112,106 - 118,105 - 119,79,8.6 - 8.11,Above Average
phmc,80,83,34,113,107 - 119,106 - 120,81,9.0 - 9.5,Above Average
phmc,80,83,35,115,109 - 121,108 - 122,84,9.0 - 9.5,Above Average
phmc,80,83,36,116,110 - 122,109 - 123,86,9.6 - 9.11,Above Average
phmc,80,83,37,118,112 - 124,111 - 125,88,10.0 - 10.5,Above Average
phmc,80,83,38,120,114 - 126,113 - 127,91,10.6 - 10.11,Well Above Average
phmc,80,83,39,122,116 - 128,115 - 129,93,11.0 - 11.5,Well Above Average
phmc,80,83,40,123,117 - 129,116 - 130,94,11.6 - 11.11,Well Above Average
phmc,80,83,41,125,119 - 130,118 - 130,95,13.0 - 13.11,Well Above Average
phmc,80,83,42,127,121 - 130,120 - 130,96,15.0 - 16.11,Well Above Average
phmc,80,83,43,129,123 - 130,122 - 130,97,17.0 - 18.11,Well Above Average
phmc,80,83,44,130,124 - 130,123 - 130,98,> Stop age,Well Above Average
phmc,80,83,45,130,124 - 130,123 - 130,98,> Stop age,Well Above Average
phmc,84,87,0,67,61 - 73,60 - 74,1,< Start age,Significantly Below Average
phmc,84,87,1,69,63 - 75,62 - 76,2,< Start age,Significantly Below Average
phmc,84,87,2,70,64 - 76,63 - 77,2,< Start age,Well Below Average
phmc,84,87,3,71,65 - 77,64 - 78,3,< Start age,Well Below Average
phmc,84,87,4,72,66 - 78,65 - 79,3,< Start age,Well Below Average
phmc,84,87,5,73,67 - 79,66 - 80,4,< Start age,Well Below Average
phmc,84,87,6,74,68 - 80,67 - 81,4,< Start age,Well Below Average
phmc,84,87,7,75,69 - 81,68 - 82,5,< Start age,Well Below Average
phmc,84,87,8,76,70 - 82,69 - 83,5,< Start age,Well Below Average
phmc,84,87,9,78,72 - 84,71 - 85,7,< Start age,Well Below Average
phmc,84,87,10,79,73 - 85,72 - 86,8,< Start age,Well Below Average
phmc,84,87,11,80,74 - 86,73 - 87,9,< Start age,Below Average
phmc,84,87,12,81,75 - 87,74 - 88,10,< Start age,Below Average
phmc,84,87,13,82,76 - 88,75 - 89,12,< Start age,Below Average
phmc,84,87,14,83,77 - 89,76 - 90,13,< Start age,Below Average
phmc,84,87,15,85,79 - 91,78 - 92,16,< Start age,Below Average
phmc,84,87,16,86,80 - 92,79 - 93,18,< Start age,Below Average
phmc,84,87,17,87,81 - 93,80 - 94,19,< Start age,Below Average
phmc,84,87,18,88,82 - 94,81 - 95,21,6.0 - 6.3,Below Average
phmc,84,87,19,89,83 - 95,82 - 96,23,6.0 - 6.3,Below Average
phmc,84,87,20,91,85 - 97,84 - 98,27,6.0 - 6.3,Average
phmc,84,87,21,92,86 - 98,85 - 99,30,6.0 - 6.3,Average
phmc,84,87,22,93,87 - 99,86 - 100,32,6.0 - 6.3,Average
phmc,84,87,23,95,89 - 101,88 - 102,37,6.4 - 6.7,Average
phmc,84,87,24,96,90 - 102,89 - 103,39,6.4 - 6.7,Average
phmc,84,87,25,97,91 - 103,90 - 104,42,6.8 - 6.11,Average
phmc,84,87,26,99,93 - 105,92 - 106,47,7.0 - 7.3,Average
phmc,84,87,27,100,94 - 106,93 - 107,50,7.0 - 7.3,Average
phmc,84,87,28,102,96 - 108,95 - 109,55,7.4 - 7.7,Average
phmc,84,87,29,103,97 - 109,96 - 110,58,7.8 - 7.11,Average
phmc,84,87,30,105,99 - 111,98 - 112,63,7.8 - 7.11,Average
phmc,84,87,31,106,100 - 112,99 - 113,66,8.0 - 8.5,Average
phmc,84,87,32,108,102 - 114,101 - 115,70,8.0 - 8.5,Average
phmc,84,87,33,110,104 - 116,103 - 117,75,8.6 - 8.11,Above Average
phmc,84,87,34,111,105 - 117,104 - 118,77,9.0 - 9.5,Above Average
phmc,84,87,35,113,107 - 119,106 - 120,81,9.0 - 9.5,Above Average
phmc,84,87,36,115,109 - 121,108 - 122,84,9.6 - 9.11,Above Average
phmc,84,87,37,116,110 - 122,109 - 123,86,10.0 - 10.5,Above Average
phmc,84,87,38,118,112 - 124,111 - 125,88,10.6 - 10.11,Above Average
phmc,84,87,39,120,114 - 126,113 - 127,91,11.0 - 11.5,Well Above Average
phmc,84,87,40,122,116 - 128,115 - 129,93,11.6 - 11.11,Well Above Average
phmc,84,87,41,124,118 - 130,117 - 130,95,13.0 - 13.11,Well Above Average
phmc,84,87,42,126,120 - 130,119 - 130,96,15.0 - 16.11,Well Above Average
