,Less_than_HS,HS_Degree,Some_College,BA_or_Higher
5 Years,0.1147,0.2607,0.3026,0.322
6 Years,0.1147,0.2607,0.3026,0.322
7 Years,0.1147,0.2607,0.3026,0.322
8 Years,0.1147,0.2607,0.3026,0.322
9 Years,0.1147,0.2607,0.3026,0.322
10 years,0.1147,0.2607,0.3026,0.322
11 years,0.1147,0.2607,0.3026,0.322
12 years,0.1147,0.2607,0.3026,0.322
13 years,0.1147,0.2607,0.3026,0.322
14 years,0.1147,0.2607,0.3026,0.322
15 years,0.1147,0.2607,0.3026,0.322
16 years,0.1147,0.2607,0.3026,0.322
17 years,0.1147,0.2607,0.3026,0.322
18 years,0.1147,0.2607,0.3026,0.322
19 years,0.1147,0.2607,0.3026,0.322
20 years,0.1147,0.2607,0.3026,0.322
21 years,0.1147,0.2607,0.3026,0.322
22 years,0.1147,0.2607,0.3026,0.322
23 years,0.1147,0.2607,0.3026,0.322
24 years,0.1147,0.2607,0.3026,0.322
25-40 years,0.109,0.238,0.309,0.344
41-50 years,0.1203,0.2575,0.2943,0.3279
51-60 years,0.1183,0.2937,0.3009,0.287
61-70 years,0.1197,0.2819,0.2931,0.3053
71-80 years,0.1779,0.3311,0.243,0.248
81-90 years,0.236,0.3643,0.1952,0.2044
