raw,ss
80,57
81,57
82,57
83,57
84,57
85,57
86,57
87,57
88,57
89,57
90,57
91,57
92,57
93,57
94,57
95,57
96,57
97,57
98,57
99,57
100,57
101,57
102,57
103,57
104,57
105,57
106,57
107,57
108,57
109,57
110,57
111,57
112,57
113,57
114,57
115,57
116,57
117,57
118,57
119,57
120,57
121,57
122,58
123,58
124,59
125,59
126,60
127,60
128,61
129,61
130,61
131,62
132,63
133,63
134,64
135,64
136,65
137,65
138,66
139,66
140,67
141,67
142,68
143,68
144,69
145,69
146,70
147,70
148,71
149,71
150,72
151,72
152,73
153,73
154,74
155,74
156,75
157,75
158,76
159,77
160,77
161,78
162,78
163,79
164,79
165,80
166,80
167,81
168,81
169,82
170,82
171,83
172,84
173,84
174,85
175,85
176,86
177,86
178,87
179,87
180,88
181,89
182,89
183,90
184,90
185,91
186,91
187,92
188,93
189,93
190,94
191,94
192,95
193,95
194,96
195,97
196,97
197,98
198,98
199,99
200,100
201,100
202,101
203,101
204,102
205,103
206,103
207,104
208,104
209,105
210,106
211,106
212,107
213,107
214,108
215,109
216,109
217,110
218,111
219,111
220,112
221,112
222,113
223,114
224,114
225,115
226,116
227,116
228,117
229,118
230,118
231,119
232,119
233,120
234,121
235,121
236,122
237,123
238,123
239,124
240,125
241,125
242,126
243,127
244,127
245,128
246,129
247,129
248,130
249,130
250,130
251,130
252,130
253,130
254,130
255,130
256,130
257,130
258,130
259,130
260,130
