raw,ss
80,58
81,58
82,58
83,58
84,58
85,58
86,58
87,58
88,58
89,58
90,58
91,58
92,58
93,58
94,58
95,58
96,58
97,58
98,58
99,58
100,58
101,58
102,58
103,58
104,58
105,58
106,58
107,58
108,58
109,58
110,58
111,58
112,58
113,58
114,58
115,58
116,59
117,59
118,60
119,60
120,61
121,61
122,61
123,62
124,62
125,63
126,63
127,63
128,64
129,64
130,64
131,65
132,65
133,66
134,66
135,67
136,67
137,67
138,68
139,68
140,69
141,69
142,70
143,70
144,71
145,71
146,71
147,72
148,72
149,73
150,73
151,74
152,74
153,75
154,75
155,76
156,76
157,77
158,77
159,78
160,78
161,79
162,79
163,80
164,80
165,81
166,81
167,82
168,82
169,83
170,83
171,84
172,84
173,85
174,85
175,86
176,86
177,87
178,87
179,88
180,88
181,89
182,89
183,90
184,91
185,91
186,92
187,92
188,93
189,93
190,94
191,94
192,95
193,96
194,96
195,97
196,97
197,98
198,98
199,99
200,100
201,100
202,101
203,101
204,102
205,103
206,103
207,104
208,104
209,105
210,106
211,106
212,107
213,108
214,108
215,109
216,109
217,110
218,111
219,111
220,112
221,113
222,113
223,114
224,115
225,115
226,116
227,116
228,117
229,118
230,118
231,119
232,120
233,120
234,121
235,122
236,122
237,123
238,124
239,125
240,125
241,126
242,127
243,127
244,128
245,129
246,129
247,130
248,130
249,130
250,130
251,130
252,130
253,130
254,130
255,130
256,130
257,130
258,130
259,130
260,130
