gender,educ,ethnic,region,cell_pct
male,no_college,hispanic,northeast_south,2.5977088000000004
male,no_college,hispanic,midwest_west,2.1774912
male,no_college,black,northeast_south,1.3806720000000003
male,no_college,black,midwest_west,1.1573280000000001
male,no_college,white_asian_other,northeast_south,6.248819200000001
male,no_college,white_asian_other,midwest_west,5.2379808
male,college_plus,hispanic,northeast_south,4.3180000000000005
male,college_plus,hispanic,midwest_west,3.6195000000000004
male,college_plus,black,northeast_south,2.2950000000000004
male,college_plus,black,midwest_west,1.92375
male,college_plus,white_asian_other,northeast_south,10.387
male,college_plus,white_asian_other,midwest_west,8.70675
female,no_college,hispanic,northeast_south,2.545754624
female,no_college,hispanic,midwest_west,2.1339413759999997
female,no_college,black,northeast_south,1.35305856
female,no_college,black,midwest_west,1.13418144
female,no_college,white_asian_other,northeast_south,6.123842816
female,no_college,white_asian_other,midwest_west,5.133221184
female,college_plus,hispanic,northeast_south,4.231640000000001
female,college_plus,hispanic,midwest_west,3.5471100000000004
female,college_plus,black,northeast_south,2.2491000000000003
female,college_plus,black,midwest_west,1.885275
female,college_plus,white_asian_other,northeast_south,10.179260000000001
female,college_plus,white_asian_other,midwest_west,8.532615
